grain,label,questions,avg_answers_per_q,total_answers,approved_rate
combo,arrays + google-query-language,106,1.245,132,0.9717
combo,arrays + vlookup,75,1.227,92,0.96
combo,arrays + google-sheets-formula,145,1.283,186,0.9586
combo,flatten + google-query-language,67,1.299,87,0.9552
combo,flatten + google-sheets-formula,65,1.246,81,0.9538
combo,flatten + google-sheets,126,1.278,161,0.9524
combo,group-by + sqlite,67,1.373,92,0.9403
combo,google-sheets + textjoin,53,1.264,67,0.9245
combo,google-query-language + google-sheets,249,1.233,307,0.9076
single,google-query-language,277,1.224,339,0.8989
combo,google-query-language + google-sheets-formula,131,1.275,167,0.8931
combo,google-sheets-formula + sum,56,1.411,79,0.8929
combo,google-sheets + sum,99,1.333,132,0.8889
combo,google-sheets-formula + vlookup,97,1.247,121,0.8866
combo,google-sheets + split,58,1.293,75,0.8793
combo,google-sheets + vlookup,168,1.315,221,0.875
combo,filter + google-sheets-formula,65,1.154,75,0.8615
combo,arrays + google-sheets,400,1.232,493,0.8575
combo,arrays + flatten,67,1.478,99,0.8507
combo,count + google-sheets,66,1.288,85,0.8485
combo,collectors + java-stream,71,1.789,127,0.8451
combo,oracle + oracle18c,58,1.655,96,0.8448
combo,google-sheets + transpose,56,1.25,70,0.8393
combo,filter + google-sheets,160,1.219,195,0.8313
combo,google-sheets-formula + regex,64,1.563,100,0.8281
combo,google-sheets + if-statement,215,1.242,267,0.8279
combo,regex + text,51,1.824,93,0.8235
combo,google-sheets + match,67,1.254,84,0.8209
combo,google-sheets-formula + if-statement,82,1.329,109,0.8171
combo,google-sheets + regex,119,1.529,182,0.8151
combo,dataframe + tidyr,54,1.667,90,0.8148
combo,awk + regex,53,2.925,155,0.8113
combo,if-statement + nested-if,53,1.302,69,0.8113
combo,regex + split,109,1.734,189,0.7982
combo,google-sheets + sorting,79,1.203,95,0.7848
combo,dplyr + lubridate,68,1.441,98,0.7794
combo,google-sheets + import,75,1.133,85,0.7733
combo,collectors + java,83,1.675,139,0.7711
single,flatten,248,1.29,320,0.7661
combo,if-statement + vlookup,55,1.273,70,0.7636
combo,haskell + types,55,1.236,68,0.7636
combo,purrr + tidyverse,75,1.587,119,0.76
combo,arrays + regex,91,1.505,137,0.7582
combo,data.table + dataframe,65,1.938,126,0.7538
combo,data-manipulation + dplyr,57,1.614,92,0.7368
combo,z3 + z3py,76,0.961,73,0.7368
combo,data-manipulation + r,293,1.645,482,0.7338
combo,count + group-by,97,1.361,132,0.732
combo,dplyr + tidyr,184,1.63,300,0.7283
combo,dataframe + dplyr,645,1.71,1103,0.7271
combo,apache-spark + arrays,62,1.323,82,0.7258
combo,tidyr + tidyverse,65,1.692,110,0.7231
combo,rust + string,72,1.278,92,0.7222
combo,dplyr + stringr,61,1.705,104,0.7213
combo,powershell + regex,111,1.423,158,0.7207
combo,object + reduce,57,2.158,123,0.7193
combo,group-by + join,71,1.324,94,0.7183
combo,arrays + rust,60,1.333,80,0.7167
combo,orders + wordpress,67,0.97,65,0.7164
combo,go + slice,100,1.32,132,0.71
combo,r + regex,288,1.872,539,0.7083
combo,dplyr + summarize,65,1.323,86,0.7077
combo,gsub + r,85,1.976,168,0.7059
combo,arrays + jq,54,1.556,84,0.7037
combo,pivot + r,108,1.546,167,0.7037
combo,numpy + pandas-groupby,54,1.296,70,0.7037
combo,dplyr + filter,118,1.636,193,0.7034
combo,r + stringr,259,1.768,458,0.7027
combo,hashmap + java-stream,84,2.226,187,0.7024
combo,javascript + phaser-framework,147,1.027,151,0.7007
combo,reference + rust,53,1.057,56,0.6981
combo,pandas-groupby + python-3.x,132,1.227,162,0.697
combo,orders + woocommerce,72,0.958,69,0.6944
combo,jolt + json,183,1.066,195,0.694
combo,purrr + r,356,1.472,524,0.6938
combo,collections + java-stream,62,1.694,105,0.6935
single,stringr,270,1.726,466,0.6926
combo,tsql + xml,52,1.212,63,0.6923
combo,data-manipulation + dataframe,142,1.683,239,0.6901
combo,jq + json,518,1.498,776,0.6873
combo,arrays + count,51,1.431,73,0.6863
combo,dataframe + tidyverse,156,1.724,269,0.6859
single,purrr,368,1.446,532,0.6848
combo,c + function-pointers,60,1.533,92,0.6833
combo,yaml + yq,60,1.267,76,0.6833
combo,dataframe + regex,101,1.515,153,0.6832
combo,python + python-polars,126,1.222,154,0.6825
combo,dplyr + purrr,113,1.708,193,0.6814
combo,group-by + mysql,203,1.251,254,0.6798
combo,dplyr + tidyverse,515,1.583,815,0.6796
combo,enums + rust,53,1.113,59,0.6792
combo,awk + csv,56,2.571,144,0.6786
combo,apache-nifi + jolt,84,1.119,94,0.6786
combo,r + tidyr,398,1.553,618,0.6784
combo,arrays + julia,62,1.5,93,0.6774
combo,parsing + regex,62,1.5,93,0.6774
single,jq,824,1.489,1227,0.676
combo,templates + variadic-templates,74,1.284,95,0.6757
combo,arrays + pyspark,74,1.149,85,0.6757
combo,regex + string,461,1.755,809,0.6746
combo,pandas + regex,248,1.484,368,0.6734
combo,regex + ruby,52,1.635,85,0.6731
combo,dataframe + julia,58,1.31,76,0.6724
combo,data.table + r,680,1.546,1051,0.6721
combo,date + dplyr,61,1.443,88,0.6721
combo,beautifulsoup + dataframe,73,1.356,99,0.6712
combo,c++-concepts + c++20,155,1.187,184,0.671
combo,data-wrangling + r,252,1.524,384,0.6706
combo,date + google-sheets,100,1.23,123,0.67
single,jolt,209,1.077,225,0.6699
single,python-polars,293,1.14,334,0.6689
combo,awk + sed,375,2.923,1096,0.6667
combo,arrays + match,54,1.204,65,0.6667
single,data.table,696,1.53,1065,0.6652
single,tidyr,412,1.522,627,0.665
combo,bash + jq,188,1.441,271,0.6649
combo,dataframe + pandas-groupby,576,1.351,778,0.6649
combo,r + summarize,116,1.31,152,0.6638
combo,c + language-lawyer,107,1.533,164,0.6636
combo,c++20 + templates,133,1.256,167,0.6617
combo,match + regex,65,1.523,99,0.6615
combo,rust + struct,65,1.0,65,0.6615
combo,facet + r,62,0.968,60,0.6613
combo,dictionary + list-comprehension,56,1.607,90,0.6607
combo,array-formulas + google-sheets,168,1.339,225,0.6607
combo,regex + replace,165,1.497,247,0.6606
combo,lapply + list,53,1.472,78,0.6604
single,awk,1266,2.454,3107,0.6603
combo,count + r,144,1.611,232,0.6597
combo,awk + bash,514,2.586,1329,0.6595
combo,r + sequence,79,1.696,134,0.6582
combo,fillna + pandas,76,1.368,104,0.6579
combo,haskell + monads,61,1.197,73,0.6557
combo,multi-index + python,209,1.11,232,0.6555
combo,r + unique,58,1.483,86,0.6552
combo,dplyr + group-by,87,1.414,123,0.6552
combo,beautifulsoup + xml,58,1.414,82,0.6552
combo,regex + visual-studio-code,58,1.276,74,0.6552
combo,iterator + rust,87,1.161,101,0.6552
combo,c++ + variadic-templates,194,1.278,248,0.6546
combo,swift + vapor,55,1.0,55,0.6545
combo,sql + window-functions,214,1.322,283,0.6542
combo,xslt + xslt-2.0,133,1.203,160,0.6541
combo,data.table + dplyr,156,1.705,266,0.6538
combo,conditional-statements + dplyr,52,1.538,80,0.6538
combo,array-broadcasting + numpy,52,1.154,60,0.6538
combo,azure-data-explorer + kql,270,1.115,301,0.6519
combo,r + replace,132,1.591,210,0.6515
single,phaser-framework,218,0.963,210,0.6514
combo,c + pass-by-reference,60,1.767,106,0.65
single,window-functions,340,1.229,418,0.65
combo,c++ + stdatomic,60,1.15,69,0.65
combo,regex + sed,117,2.239,262,0.6496
combo,facet + ggplot2,57,0.982,56,0.6491
combo,pandas + pandas-groupby,893,1.303,1164,0.6484
combo,dplyr + r,3963,1.513,5995,0.6472
combo,powershell + replace,51,1.137,58,0.6471
combo,typescript + union-types,68,1.029,70,0.6471
combo,count + mysql,96,1.208,116,0.6458
combo,altair + python,144,1.042,150,0.6458
single,variadic-templates,200,1.255,251,0.645
combo,list + matrix,76,1.592,121,0.6447
combo,awk + shell,222,2.401,533,0.6441
combo,case + mysql,59,1.186,70,0.6441
combo,kql + kusto-explorer,95,1.063,101,0.6421
single,dplyr,4093,1.494,6115,0.6416
combo,python + substring,106,1.679,178,0.6415
combo,match + string,53,1.585,84,0.6415
combo,bash + sed,503,2.322,1168,0.6402
combo,javascript + ramda.js,50,1.72,86,0.64
combo,pandas-groupby + python,794,1.302,1034,0.6398
combo,beautifulsoup + pandas,197,1.335,263,0.6396
combo,aggregate + pandas,83,1.313,109,0.6386
combo,rust + vector,58,1.224,71,0.6379
combo,dataframe + reshape,69,1.768,122,0.6377
combo,left-join + mysql,91,1.374,125,0.6374
combo,c++17 + templates,129,1.318,170,0.6357
combo,c++ + metaprogramming,63,1.238,78,0.6349
combo,multi-index + pandas,241,1.083,261,0.6349
combo,c++ + c++-concepts,178,1.124,200,0.6348
combo,hashtable + powershell,52,1.154,60,0.6346
single,data-manipulation,476,1.481,705,0.6345
combo,conditional-statements + r,205,1.566,321,0.6341
combo,azure-bicep + azure-resource-manager,90,0.989,89,0.6333
combo,powershell + string,79,1.215,96,0.6329
combo,sql + sql-order-by,114,1.395,159,0.6316
combo,css-selectors + web-scraping,57,1.263,72,0.6316
combo,dictionary + recursion,65,1.585,103,0.6308
combo,aggregate-functions + postgresql,65,1.215,79,0.6308
